"UniProt1","UniProt2","symbol1","symbol2","evidence type"
"O14727","Q9HC29","APAF1","NOD2","pred"
"O14732","P36969","IMPA2","GPX4","exp"
"O14733","O43353","MAP2K7","RIPK2","pred"
"O14733","Q9HC29","MAP2K7","NOD2","pred"
"O14735","P35228","CDIPT","NOS2","exp"
"O14745","P35228","SLC9A3R1","NOS2","exp;pred"
"O14757","O43353","CHEK1","RIPK2","pred"
"O14763","P48023","TNFRSF10B","FASLG","exp;pred"
"O14763","Q7Z699","TNFRSF10B","SPRED1","pred"
"O14788","P40189","TNFSF11","IL6ST","pred"
"O14788","P48023","TNFSF11","FASLG","pred"
"O14788","Q8NI17","TNFSF11","IL31RA","pred"
"O14788","Q9UNG2","TNFSF11","TNFSF18","pred"
"O14791","Q9HC29","APOL1","NOD2","pred"
"O14793","P40189","MSTN","IL6ST","pred"
"O14807","O95267","MRAS","RASGRP1","pred"
"O14818","O43353","PSMA7","RIPK2","exp"
"O14818","P35228","PSMA7","NOS2","exp"
"O14818","Q676U5","PSMA7","ATG16L1","pred"
"O14827","O95267","RASGRF2","RASGRP1","pred"
"O14828","P36969","SCAMP3","GPX4","pred"
"O14836","P48023","TNFRSF13B","FASLG","pred"
"O14836","Q8NI17","TNFRSF13B","IL31RA","pred"
"O14862","O43353","AIM2","RIPK2","pred"
"O14862","Q9HC29","AIM2","NOD2","pred"
"O14867","Q02930","BACH1","CREB5","exp;pred"
"O14910","Q676U5","LIN7A","ATG16L1","pred"
"O14920","O43353","IKBKB","RIPK2","pred"
"O14920","P17181","IKBKB","IFNAR1","pred"
"O14920","Q9HC29","IKBKB","NOD2","pred"
"O14929","Q8IV20","HAT1","LACC1","exp"
"O14931","O43353","NCR3","RIPK2","pred"
"O14931","P40189","NCR3","IL6ST","pred"
"O14931","Q9HC29","NCR3","NOD2","pred"
"O14939","P48023","PLD2","FASLG","pred"
"O14944","P48023","EREG","FASLG","pred"
"O14944","Q9HC29","EREG","NOD2","pred"
"O14964","P40189","HGS","IL6ST","ortho"
"O14976","P17181","GAK","IFNAR1","pred"
"O14980","Q676U5","XPO1","ATG16L1","exp"
"O15042","Q17RY0","U2SURP","CPEB4","pred"
"O15055","Q92619","PER2","ARHGAP45","pred"
"O15056","P35228","SYNJ2","NOS2","pred"
"O15056","P48023","SYNJ2","FASLG","pred"
"O15056","Q9Y2R2","SYNJ2","PTPN22","pred"
"O15085","O95267","ARHGEF11","RASGRP1","pred"
"O15085","P48023","ARHGEF11","FASLG","pred"
"O15105","P40189","SMAD7","IL6ST","pred"
"O15105","Q86VZ6","SMAD7","JAZF1","pred"
"O15111","O43353","CHUK","RIPK2","exp;pred"
"O15111","P17181","CHUK","IFNAR1","pred"
"O15111","Q9HC29","CHUK","NOD2","pred"
"O15117","P48023","FYB1","FASLG","exp;pred"
"O15143","Q92619","ARPC1B","ARHGAP45","pred"
"O15146","Q9UKF2","MUSK","ADAM30","exp"
"O15164","Q676U5","TRIM24","ATG16L1","pred"
"O15164","Q9HC29","TRIM24","NOD2","pred"
"O15169","O43353","AXIN1","RIPK2","pred"
"O15169","Q7Z699","AXIN1","SPRED1","pred"
"O15169","Q9HC29","AXIN1","NOD2","pred"
"O15197","P40189","EPHB6","IL6ST","pred"
"O15204","Q9UKF2","ADAMDEC1","ADAM30","pred"
"O15264","P36969","MAPK13","GPX4","exp"
"O15264","Q02930","MAPK13","CREB5","pred"
"O15318","Q9HC29","POLR3G","NOD2","pred"
"O15344","O43353","MID1","RIPK2","pred"
"O15344","P40189","MID1","IL6ST","pred"
"O15344","Q9HC29","MID1","NOD2","pred"
"O15350","P17181","TP73","IFNAR1","pred"
"O15350","P40189","TP73","IL6ST","pred"
"O15350","P48023","TP73","FASLG","pred"
"O15350","Q7Z699","TP73","SPRED1","pred"
"O15350","Q9HC29","TP73","NOD2","pred"
"O15357","Q7Z699","INPPL1","SPRED1","pred"
"O15357","Q9Y2R2","INPPL1","PTPN22","pred"
"O15379","Q86VZ6","HDAC3","JAZF1","pred"
"O15392","O43353","BIRC5","RIPK2","pred"
"O15392","P36969","BIRC5","GPX4","exp"
"O15455","O43353","TLR3","RIPK2","pred"
"O15455","P17181","TLR3","IFNAR1","pred"
"O15455","P48023","TLR3","FASLG","pred"
"O15455","Q9HC29","TLR3","NOD2","pred"
"O15492","P48023","RGS16","FASLG","pred"
"O15496","Q8NI17","PLA2G10","IL31RA","pred"
"O15519","O43353","CFLAR","RIPK2","exp;pred"
"O15519","P17181","CFLAR","IFNAR1","pred"
"O15519","P48023","CFLAR","FASLG","exp;ortho;pred"
"O15519","Q9HC29","CFLAR","NOD2","pred"
"O15524","O95267","SOCS1","RASGRP1","pred"
"O15524","P17181","SOCS1","IFNAR1","exp;ortho;pred"
"O15524","P38484","SOCS1","IFNGR2","pred"
"O15524","P40189","SOCS1","IL6ST","pred"
"O15524","P48023","SOCS1","FASLG","pred"
"O15524","Q8NI17","SOCS1","IL31RA","pred"
"O15530","O43353","PDPK1","RIPK2","pred"
"O15530","Q9Y2R2","PDPK1","PTPN22","exp"
"O15553","O43353","MEFV","RIPK2","pred"
"O15553","P48023","MEFV","FASLG","pred"
"O15553","Q676U5","MEFV","ATG16L1","exp"
"O15553","Q9HC29","MEFV","NOD2","pred"
"O15554","Q9HC29","KCNN4","NOD2","pred"
"O43150","P48023","ASAP2","FASLG","pred"
"O43150","Q7Z699","ASAP2","SPRED1","pred"
"O43174","P35228","CYP26A1","NOS2","pred"
"O43175","Q9Y2R2","PHGDH","PTPN22","pred"
"O43184","Q9UKF2","ADAM12","ADAM30","pred"
"O43187","O43353","IRAK2","RIPK2","pred"
"O43187","Q9HC29","IRAK2","NOD2","pred"
"O43242","P35228","PSMD3","NOS2","exp"
"O43278","Q92619","SPINT1","ARHGAP45","pred"
"O43283","O43353","MAP3K13","RIPK2","pred"
"O43291","Q92619","SPINT2","ARHGAP45","pred"
"O43294","Q7Z699","TGFB1I1","SPRED1","pred"
"O43295","P48023","SRGAP3","FASLG","exp"
"O43304","P48023","SEC14L5","FASLG","pred"
"O43307","O95267","ARHGEF9","RASGRP1","pred"
"O43318","O43353","MAP3K7","RIPK2","exp;ortho;pred"
"O43318","P17181","MAP3K7","IFNAR1","pred"
"O43318","Q86VZ6","MAP3K7","JAZF1","exp;pred"
"O43318","Q9HC29","MAP3K7","NOD2","exp;pred"
"O43353","Q14790","RIPK2","CASP8","exp;pred"
"O43353","P62263","RIPK2","RPS14","exp"
"O43353","P61769","RIPK2","B2M","pred"
"O43353","P51668","RIPK2","UBE2D1","pred"
"O43353","P52907","RIPK2","CAPZA1","pred"
"O43353","P01730","RIPK2","CD4","pred"
"O43353","Q9BZR6","RIPK2","RTN4R","pred"
